item,year,worry,actual,expected,unexpected
Immigration,1993,2.5833333333333335,-1,8.7983723135625,-6.215038980229165
Immigration,1994,3.3333333333333335,77,9.075891767783517,-5.742558434450183
Immigration,1995,3.8333333333333335,76,12.631517277426362,-8.798183944093028
Immigration,1996,3.25,55,12.658391367519801,-9.408391367519801
Immigration,1997,3.909090909090909,48,11.72617424604206,-7.817083336951151
Immigration,1998,4.333333333333333,140,11.090143221829427,-6.756809888496094
Immigration,1999,6.5,163,15.2005791974194,-8.7005791974194
Immigration,2000,11.333333333333334,158,16.265257684161313,-4.931924350827979
Immigration,2001,16.5,179,15.965139195242715,0.5348608047572849
Immigration,2002,19.583333333333332,172,16.9456328655411,2.637700467792232
Immigration,2003,29.833333333333332,185,16.58201950967353,13.251313823659803
Immigration,2004,29.166666666666668,268,16.88783807245327,12.278828594213397
Immigration,2005,31.3,267,20.67116724778375,10.628832752216251
Immigration,2006,36.18181818181818,265,20.632523164477742,15.549295017340437
Immigration,2007,38.22222222222222,273,20.513855098876604,17.708367123345617
Immigration,2008,32.166666666666664,229,21.02990726027027,11.136759406396394
Immigration,2009,26.555555555555557,229,19.026115002219097,7.52944055333646
Immigration,2010,29.636363636363637,256,18.93301022949357,10.703353406870068
Immigration,2011,24.25,205,20.338474594910565,3.911525405089435
Immigration,2012,21.636363636363637,195,18.050380454054306,3.585983182309331
Immigration,2013,32.45454545454545,244,17.426005201806785,15.028540252738669
Immigration,2014,38.63636363636363,284,19.519568128915182,19.11679550744845
Immigration,2015,43.583333333333336,303,21.275679281016806,22.30765405231653
Immigration,2016,40.083333333333336,249,22.327162756080867,17.75617057725247
Immigration,2017,26.166666666666668,208,20.009344488200597,6.157322178466071
Immigration,2018,19.25,276,17.907688335290302,1.3423116647096975
Immigration,2019,13.916666666666666,184,21.321704080892065,-7.405037414225399
Immigration,2020,8.222222222222221,93,17.445754199573795,-9.223531977351573
Immigration,2021,10,467,12.011873965564515,-2.011873965564515
Immigration,2022,10.5,891,27.582018394717142,-17.082018394717142
Immigration,2023,19.7,848,47.03956721640616,-27.339567216406163
Immigration,2024,31.988216408843513,331,46.86409967294058,-14.87588326409707
Immigration,2025,42.381547447394134,171,23.871272627360916,18.510274820033217
Crime,1982,11,11715.5,20.50440108202629,-9.504401082026291
Crime,1983,11.714285714285714,12128,20.83336981510211,-9.119084100816396
Crime,1987,19,13647,22.04477225278009,-3.0447722527800885
Crime,1991,12.333333333333334,15564,23.573579674128794,-11.24024634079546
Crime,1992,12.818181818181818,17199.5,24.877890857026976,-12.059709038845158
Crime,1993,26.333333333333332,18835,26.18220203992515,0.15113129340818077
Crime,1994,29.916666666666668,19310.5,26.561413270416185,3.3552533962504825
Crime,1995,23.833333333333332,19786,26.94062450090722,-3.1072911675738872
Crime,1996,29.25,18477,25.89669705461329,3.3533029453867087
Crime,1997,24.545454545454547,17168,24.852769608319367,-0.30731506286482
Crime,1998,18.25,16207.5,24.08677089772707,-5.836770897727071
Crime,1999,18.25,15247,23.32077218713477,-5.0707721871347715
Crime,2000,22.166666666666668,14421.666666666666,22.662568887663483,-0.4959022209968147
Crime,2001,22.1,13596.333333333334,22.004365588192194,0.09563441180780785
Crime,2002,26.833333333333332,12771,21.346162288720897,5.487171044612435
Crime,2003,22.916666666666668,12390,21.042314804352692,1.8743518623139757
Crime,2004,24.916666666666668,11609,20.41946733639581,4.497199330270856
Crime,2005,29.3,10778,19.756744870490344,9.543255129509657
Crime,2006,32.27272727272727,10863,19.824532367002938,12.448194905724336
Crime,2007,39.333333333333336,11182,20.0789348539149,19.254398479418434
Crime,2008,40.25,10040,19.16818990076925,21.08181009923075
Crime,2009,28.666666666666668,10432,19.480809884686145,9.185856781980522
Crime,2010,22.90909090909091,9544,18.772629921119297,4.136460987971613
Crime,2011,22.25,9711,18.905812414267565,3.344187585732435
Crime,2012,17.636363636363637,9593,18.811707419108906,-1.1753437827452693
Crime,2013,15.090909090909092,8757,18.144997453408585,-3.0540883624994937
Crime,2014,13.909090909090908,7554,17.185605002765655,-3.2765140936747468
Crime,2015,11.333333333333334,7177,16.884947518233336,-5.551614184900002
Crime,2016,10.833333333333334,6529,16.368167544819688,-5.534834211486354
Crime,2017,11.833333333333334,6057,15.991747564185054,-4.1584142308517205
Crime,2018,18.75,6247,16.143272556389675,2.6067274436103247
Crime,2019,23,6431,16.290012548840462,6.709987451159538
Crime,2020,7.777777777777778,5661,15.675937580432272,-7.898159802654495
