item,year,resid,z
Petrol / fuel,1987,0.24651050088567672,0.16517726093489157
Petrol / fuel,1988,0.8745798765032049,0.5860225343364628
Petrol / fuel,1989,0.9367210161402753,0.6276609359450991
Petrol / fuel,1990,0.7181173642027261,0.4811829874290048
Petrol / fuel,1991,0.5616548519022455,0.37634344052154556
Petrol / fuel,1992,0.6504279085266322,0.4358268713910264
Petrol / fuel,1993,-0.012041026532846999,-0.008068231472469435
Petrol / fuel,1994,-0.24728962658747022,-0.16569932327659243
Petrol / fuel,1995,-0.4348227087064842,-0.2913580709883686
Petrol / fuel,1996,-0.7344317748137872,-0.4921146501728647
Petrol / fuel,1997,-1.5245119787708212,-1.0215171849112383
Petrol / fuel,1998,-1.715374050513251,-1.149406561280621
Petrol / fuel,1999,-2.5931176478868654,-1.7375489840026057
Petrol / fuel,2000,2.789777280097592,1.869323083963142
Petrol / fuel,2001,1.1889964209014448,0.7967010385369814
Petrol / fuel,2002,-1.4071616820865578,-0.9428852381724137
Petrol / fuel,2003,-1.27009706166769,-0.8510434769065566
Petrol / fuel,2004,-0.9265926560871847,-0.6208743091469663
Petrol / fuel,2005,-1.3030414782868194,-0.8731182708025349
Petrol / fuel,2006,-0.6519029323944743,-0.4368152284850583
Petrol / fuel,2007,-1.9117957121682247,-1.2810212062709176
Petrol / fuel,2008,2.144713442390988,1.4370904713251087
Petrol / fuel,2009,-2.181335278916822,-1.4616293636887567
Petrol / fuel,2010,-1.9152827077926933,-1.2833577087082269
Petrol / fuel,2011,0.9351568101556449,0.6266128213246228
Petrol / fuel,2012,0.08244153916683761,0.05524092311649694
Petrol / fuel,2013,0.0675725913048062,0.04527780969126774
Petrol / fuel,2014,-0.34039387401889254,-0.22808491949611767
Petrol / fuel,2015,-0.7773217403824653,-0.5208535761365566
Petrol / fuel,2016,0.014085312278315332,0.009438029184094312
Petrol / fuel,2017,0.0715468778601358,0.047940827149027705
Petrol / fuel,2018,0.30444382302308837,0.20399616492938824
Petrol / fuel,2019,-0.2281707809951392,-0.15288851588367355
Petrol / fuel,2020,-0.944507635060902,-0.6328784515504461
Petrol / fuel,2021,-1.3020931913171019,-0.8724828599633397
Petrol / fuel,2022,4.794192197200724,3.2124048780230168
Petrol / fuel,2023,2.519286131523831,1.688077307949457
Petrol / fuel,2024,0.423394433395754,0.28370042068035306
Petrol / fuel,2025,0.8510663411486297,0.5702670133715945
