year,theta_mean,theta_sd,trust_pct_pred,spec,n_anchor,r2,intercept,slope
1988,0.292621462675,0.13602441922814928,20.673605686693282,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1989,0.3409755092,0.13517511808358557,22.973703687545353,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1990,0.392515281625,0.12059801231840343,25.42533981809799,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1992,0.46760578785,0.12890335264304706,28.997233706271242,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1993,0.478609533875,0.1534835873645741,29.52065823953964,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1995,0.503600862925,0.15428574455117128,30.709442014995155,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
1999,0.4559343425,0.06912281659332635,28.44204815209617,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
2004,0.21854443,0.02836110670209188,17.149920555672676,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
2006,0.29918542525,0.06025199922281408,20.985839269639012,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
2008,0.24192681975,0.03067909050958625,18.262170548882917,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
2014,0.3281027025,0.03426112065676134,22.361371957651418,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
2015,0.369294459,0.0635190738918306,24.320775225550623,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
2018,0.348302261,0.03552245049784328,23.32222151343623,D. TrustGov real-anchors only,18,0.6702979774910615,6.754232031849478,47.567849355955666
